Date,Description,Usage (kWh),Amount
01/25/21,Bill,696,$108.09
01/07/21,Payment,,$103.36
12/22/20,Bill,683,$103.36
12/04/20,Payment,,$105.80
11/20/20,Bill,702,$105.80
11/04/20,Payment,,$86.32
10/22/20,Bill,725,$86.32
10/05/20,Payment,,$208.50
09/22/20,Bill,1457,$208.50
09/03/20,Payment,,$201.52
08/21/20,Bill,1405,$201.52
08/05/20,Payment,,$195.47
07/23/20,Bill,1360,$195.47
07/06/20,Payment,,$170.37
06/23/20,Bill,1173,$170.37
06/05/20,Payment,,$115.22
05/22/20,Bill,778,$115.22
05/05/20,Payment,,$77.32
04/22/20,Bill,603,$77.32
04/06/20,Payment,,$80.72
03/24/20,Bill,507,$80.72
03/05/20,Payment,,$75.17
02/21/20,Bill,459,$75.17
02/05/20,Payment,,$83.29
01/23/20,Bill,522,$83.29
01/06/20,Payment,,$74.30
12/21/19,Bill,439,$74.30
12/05/19,Payment,,$70.86
11/20/19,Bill,413,$70.86
11/05/19,Payment,,$156.35
10/23/19,Bill,1091,$156.35
10/04/19,Payment,,$219.99
09/23/19,Bill,1517,$219.99
09/05/19,Payment,,$207.26
08/22/19,Bill,1425,$207.26
08/05/19,Payment,,$237.57
07/23/19,Bill,1644,$237.57
07/05/19,Payment,,$185.25
06/21/19,Bill,1241,$185.25
06/05/19,Payment,,$138.37
05/22/19,Bill,941,$138.37
05/06/19,Payment,,$95.76
04/23/19,Bill,601,$95.76
04/04/19,Payment,,$85.29
03/22/19,Bill,546,$85.29
03/06/19,Payment,,$83.52
02/21/19,Bill,532,$83.52
02/05/19,Payment,,$101.76
01/23/19,Bill,675,$101.76
01/04/19,Payment,,$76.56
12/20/18,Bill,537,$76.56
12/05/18,Payment,,$66.89
11/20/18,Bill,453,$66.89
11/06/18,Payment,,$131.82
10/23/18,Bill,1046,$131.82
10/05/18,Payment,,$234.86
09/24/18,Bill,1845,$234.86
09/06/18,Payment,,$205.05
08/23/18,Bill,1598,$205.05
08/06/18,Payment,,$224.71
07/24/18,Bill,1761,$224.71
07/06/18,Payment,,$193.47
06/22/18,Bill,1399,$193.47
06/07/18,Payment,,$129.53
05/24/18,Bill,940,$129.53
05/04/18,Payment,,$73.66
04/23/18,Bill,467,$73.66
04/04/18,Payment,,$72.95
03/22/18,Bill,462,$72.95
03/06/18,Payment,,$75.66
02/21/18,Bill,484,$75.66
02/05/18,Payment,,$93.49
01/23/18,Bill,629,$93.49
01/05/18,Payment,,$75.90
12/20/17,Bill,486,$75.90
12/05/17,Payment,,$71.20
11/20/17,Bill,453,$71.20
11/03/17,Payment,,$134.10
10/23/17,Bill,989,$134.10
10/05/17,Payment,,$138.51
09/22/17,Bill,978,$138.51
09/06/17,Payment,,$206.66
08/23/17,Bill,1509,$206.66
08/04/17,Payment,,$244.04
07/24/17,Bill,1800,$244.04
07/06/17,Payment,,$159.64
06/22/17,Bill,1143,$159.64
06/05/17,Payment,,$124.61
05/23/17,Bill,903,$124.61
05/05/17,Payment,,$96.31
04/24/17,Bill,657,$96.31
04/05/17,Payment,,$69.74
03/23/17,Bill,441,$69.74
03/07/17,Payment,,$71.33
02/22/17,Bill,454,$71.33
02/06/17,Payment,,$91.13
01/24/17,Bill,615,$91.13
01/06/17,Payment,,$77.22
12/21/16,Bill,529,$77.22
12/06/16,Payment,,$89.58
11/21/16,Bill,635,$89.58
11/03/16,Payment,,$157.17
10/21/16,Bill,1271,$157.17
10/05/16,Payment,,$259.59
09/22/16,Bill,2020,$259.59
09/02/16,Payment,,$253.34
08/23/16,Bill,1969,$253.34
08/04/16,Payment,,$268.86
07/22/16,Bill,2096,$268.86
07/06/16,Payment,,$205.71
06/22/16,Bill,1579,$205.71
06/03/16,Payment,,$136.17
05/23/16,Bill,1069,$136.17
05/05/16,Payment,,$93.78
04/22/16,Bill,671,$93.78
04/05/16,Payment,,$100.19
03/23/16,Bill,726,$100.19
03/07/16,Payment,,$85.39
02/23/16,Bill,599,$85.39
02/05/16,Payment,,$94.72
01/25/16,Bill,679,$94.72
